Date,Open,High,Low,Close,Volume
2023-01-01,16500,16700,16400,16600,35000
2023-01-02,16600,16800,16500,16750,37000
2023-01-03,16750,16900,16650,16850,39000
2023-01-04,16850,17000,16750,16900,41000
2023-01-05,16900,17100,16800,17050,42000
2023-01-06,17050,17200,16950,17100,43000
2023-01-07,17100,17300,17000,17250,45000
2023-01-08,17250,17400,17150,17350,46000
2023-01-09,17350,17500,17250,17450,47000
2023-01-10,17450,17600,17350,17550,48000
2023-01-11,17550,17700,17450,17650,49000
2023-01-12,17650,17800,17550,17750,50000
2023-01-13,17750,17900,17650,17850,51000
2023-01-14,17850,18000,17750,17950,52000
2023-01-15,17950,18100,17850,18050,53000
2023-01-16,18050,18200,17950,18150,54000
2023-01-17,18150,18300,18050,18250,55000
2023-01-18,18250,18400,18150,18350,56000
2023-01-19,18350,18500,18250,18450,57000
2023-01-20,18450,18600,18350,18550,58000
2023-01-21,18550,18700,18450,18650,59000
2023-01-22,18650,18800,18550,18750,60000
2023-01-23,18750,18900,18650,18850,61000
2023-01-24,18850,19000,18750,18950,62000
2023-01-25,18950,19100,18850,19050,63000
2023-01-26,19050,19200,18950,19150,64000
2023-01-27,19150,19300,19050,19250,65000
2023-01-28,19250,19400,19150,19350,66000
2023-01-29,19350,19500,19250,19450,67000
2023-01-30,19450,19600,19350,19550,68000
2023-01-31,19550,19700,19450,19650,69000
2023-02-01,19650,19800,19550,19750,70000
2023-02-02,19750,19900,19650,19850,71000
2023-02-03,19850,20000,19750,19950,72000
2023-02-04,19950,20100,19850,20050,73000
2023-02-05,20050,20200,19950,20150,74000
2023-02-06,20150,20300,20050,20250,75000
2023-02-07,20250,20400,20150,20350,76000
